date,average
2022-01-01,61663
2022-01-02,61661
2022-01-03,74529
2022-01-04,76094
2022-01-05,78401
2022-01-06,75566
2022-01-07,75310
2022-01-08,66990
2022-01-09,62317
2022-01-10,73936
2022-01-11,78016
2022-01-12,79019
2022-01-13,79503
2022-01-14,77493
2022-01-15,68219
2022-01-16,63038
2022-01-17,76671
2022-01-18,77993
2022-01-19,78959
2022-01-20,77979
2022-01-21,76656
2022-01-22,68311
2022-01-23,62615
2022-01-24,73467
2022-01-25,75961
2022-01-26,73868
2022-01-27,73757
2022-01-28,71889
2022-01-29,63324
2022-01-30,59343
2022-01-31,55738
2022-02-01,54131
2022-02-02,56229
2022-02-03,69036
2022-02-04,73965
2022-02-05,68414
2022-02-06,63620
2022-02-07,76139
2022-02-08,75326
2022-02-09,74669
2022-02-10,72655
2022-02-11,72313
2022-02-12,63434
2022-02-13,59892
2022-02-14,70660
2022-02-15,75350
2022-02-16,77835
2022-02-17,77581
2022-02-18,74869
2022-02-19,67024
2022-02-20,62325
2022-02-21,74362
2022-02-22,76029
2022-02-23,76620
2022-02-24,75314
2022-02-25,72801
2022-02-26,63475
2022-02-27,57765
2022-02-28,67225
2022-03-01,64939
2022-03-02,69363
2022-03-03,69092
2022-03-04,68989
2022-03-05,60475
2022-03-06,56860
2022-03-07,68686
2022-03-08,68917
2022-03-09,61926
2022-03-10,66779
2022-03-11,67087
2022-03-12,58740
2022-03-13,57226
2022-03-14,67231
2022-03-15,65424
2022-03-16,64899
2022-03-17,68258
2022-03-18,68891
2022-03-19,62459
2022-03-20,56847
2022-03-21,65981
2022-03-22,66357
2022-03-23,68981
2022-03-24,66888
2022-03-25,66118
2022-03-26,59543
2022-03-27,52606
2022-03-28,62462
2022-03-29,63714
2022-03-30,65354
2022-03-31,65250
2022-04-01,63412
2022-04-02,56032
2022-04-03,52451
2022-04-04,61215
2022-04-05,63919
2022-04-06,62848
2022-04-07,62716
2022-04-08,61329
2022-04-09,54895
2022-04-10,50809
2022-04-11,59638
2022-04-12,62035
2022-04-13,65107
2022-04-14,64664
2022-04-15,61025
2022-04-16,54381
2022-04-17,50650
2022-04-18,59816
2022-04-19,61071
2022-04-20,60687
2022-04-21,62670
2022-04-22,61466
2022-04-23,54633
2022-04-24,50443
2022-04-25,60649
2022-04-26,63933
2022-04-27,60632
2022-04-28,61252
2022-04-29,62000
2022-04-30,55037
2022-05-01,49317
2022-05-02,58383
2022-05-03,60397
2022-05-04,60493
2022-05-05,55616
2022-05-06,58180
2022-05-07,53768
2022-05-08,50632
2022-05-09,59299
2022-05-10,61355
2022-05-11,62232
2022-05-12,62863
2022-05-13,63712
2022-05-14,54108
2022-05-15,49952
2022-05-16,58861
2022-05-17,61964
2022-05-18,62626
2022-05-19,62978
2022-05-20,62247
2022-05-21,55550
2022-05-22,51730
2022-05-23,61968
2022-05-24,63875
2022-05-25,64260
2022-05-26,62334
2022-05-27,62260
2022-05-28,56419
2022-05-29,52633
2022-05-30,63569
2022-05-31,62375
2022-06-01,57829
2022-06-02,62484
2022-06-03,63736
2022-06-04,57025
2022-06-05,54433
2022-06-06,55060
2022-06-07,61703
2022-06-08,62472
2022-06-09,63156
2022-06-10,63472
2022-06-11,56664
2022-06-12,53279
2022-06-13,62650
2022-06-14,64492
2022-06-15,63547
2022-06-16,63690
2022-06-17,65159
2022-06-18,59158
2022-06-19,55919
2022-06-20,66326
2022-06-21,69768
2022-06-22,70228
2022-06-23,72466
2022-06-24,69544
2022-06-25,62845
2022-06-26,60324
2022-06-27,72297
2022-06-28,74260
2022-06-29,74568
2022-06-30,73292
2022-07-01,72718
2022-07-02,66289
2022-07-03,63339
2022-07-04,75323
2022-07-05,78194
2022-07-06,79229
2022-07-07,79983
2022-07-08,77421
2022-07-09,67883
2022-07-10,64401
2022-07-11,74524
2022-07-12,75851
2022-07-13,75240
2022-07-14,75165
2022-07-15,73157
2022-07-16,65223
2022-07-17,61404
2022-07-18,72486
2022-07-19,73551
2022-07-20,74297
2022-07-21,73341
2022-07-22,71552
2022-07-23,64845
2022-07-24,61352
2022-07-25,71407
2022-07-26,74987
2022-07-27,74700
2022-07-28,75631
2022-07-29,76757
2022-07-30,69514
2022-07-31,64812
2022-08-01,69447
2022-08-02,69609
2022-08-03,70708
2022-08-04,73539
2022-08-05,75126
2022-08-06,70370
2022-08-07,68047
2022-08-08,77498
2022-08-09,78028
2022-08-10,75870
2022-08-11,75824
2022-08-12,74395
2022-08-13,67772
2022-08-14,64648
2022-08-15,68887
2022-08-16,75285
2022-08-17,74593
2022-08-18,72764
2022-08-19,75082
2022-08-20,69908
2022-08-21,62899
2022-08-22,73029
2022-08-23,75680
2022-08-24,71517
2022-08-25,70137
2022-08-26,68585
2022-08-27,59314
2022-08-28,54847
2022-08-29,66160
2022-08-30,68675
2022-08-31,67887
2022-09-01,68449
2022-09-02,68198
2022-09-03,61476
2022-09-04,58988
2022-09-05,68687
2022-09-06,64984
2022-09-07,64771
2022-09-08,62331
2022-09-09,50800
2022-09-10,47053
2022-09-11,48715
2022-09-12,53295
2022-09-13,64567
2022-09-14,67145
2022-09-15,68429
2022-09-16,70550
2022-09-17,64146
2022-09-18,60587
2022-09-19,67834
2022-09-20,64999
2022-09-21,63355
2022-09-22,63517
2022-09-23,63221
2022-09-24,55069
2022-09-25,52945
2022-09-26,62162
2022-09-27,63301
2022-09-28,64473
2022-09-29,63719
2022-09-30,63174
2022-10-01,55944
2022-10-02,53012
2022-10-03,58860
2022-10-04,64462
2022-10-05,62396
2022-10-06,63124
2022-10-07,61979
2022-10-08,55007
2022-10-09,53438
